5561c91,putl0014,4 weeks ago,Changed session to use id
6c09cdb,Xplict1,4 weeks ago,FUSSCredit Distribution added
42b1217,Thomas Wachmer,4 weeks ago,Update account.php to make it not look like shit
32d91f1,Xplict1,4 weeks ago,fix logout directory
617c3dd,Liam maney,4 weeks ago,Merge pull request #47 from putl0014/feat/putl0014/studentProfileEdit
ef01889,Xplict1,4 weeks ago,update pr-roster
0a78e0c,Xplict1,4 weeks ago,popular skills table and styling
ad99098,putl0014,4 weeks ago,Delete inbox copy.html
d468b32,putl0014,4 weeks ago,Create users database for PR.sql
ea3fef6,putl0014,4 weeks ago,Update pr-roster.md
c772b09,putl0014,4 weeks ago,Completed Profile Edit
29d990d,Thomas Wachmer,4 weeks ago,Minor changes
e536378,putl0014,4 weeks ago,Basic structure done, need to write php to update db from field selection
3cc2f33,putl0014,4 weeks ago,Editing Profile Picture works
68cb12a,putl0014,4 weeks ago,
ad6a9dd,putl0014,4 weeks ago,Student Profile
31a5951,Jayden Putland,4 weeks ago,Merge branch 'main' into feat/putl0014/messaging
ee90243,putl0014,4 weeks ago,Updating db querys
5e4a608,putl0014,4 weeks ago,Update pr-roster.md
bf94b60,putl0014,4 weeks ago,Completed Messaging function
d548fd8,putl0014,4 weeks ago,Inbox page JS and starting on the php api to send message to db
d853618,main0074,4 weeks ago,Merge pull request #26 from putl0014/feat/putl0014/adminLogin
39f0a6a,Jayden Putland,4 weeks ago,Merge pull request #27 from putl0014/Admin-Dashboard-HTML
82ef431,Xplict1,4 weeks ago,added meta tag to all pages
8ad19dd,Xplict1,4 weeks ago,Total users and services list created
f7e21bb,putl0014,4 weeks ago,Update users.sql
19c8236,putl0014,4 weeks ago,Update inbox.php
7066d07,putl0014,4 weeks ago,Altered Session id, added sql stmts for user name, CSS for inbox page
018acfe,putl0014,4 weeks ago,Update pr-roster.md
668031a,putl0014,4 weeks ago,Changed adminPage to check for admin Boolean
939a317,putl0014,4 weeks ago,Added first name, last name fields to register page
1b8a5e6,Xplict1,4 weeks ago,testing sql queries
7a0d167,putl0014,4 weeks ago,Inbox starter code
55680a5,mane0039,4 weeks ago,update admin-dashboard-data.php
c431e86,Xplict1,4 weeks ago,update admin-dashboard-data.php
3793dd7,Thomas Wachmer,4 weeks ago,Create api endpoints
ed8070b,Jayden Putland,4 weeks ago,Merge pull request #25 from putl0014/Student-Homepage-HTML
9bafeb3,Lachlan Klenk,4 weeks ago,Update student-style.css
5e058cb,Lachlan Klenk,4 weeks ago,Pages
25c0bfd,Liam maney,4 weeks ago,Merge pull request #24 from putl0014/fix/putl0014/studentlogin
bc9639b,putl0014,4 weeks ago,Update pr-roster.md
e61cc2d,putl0014,4 weeks ago,Fixed Student and Admin Login
175b5ae,wach0035,4 weeks ago,Merge pull request #23 from putl0014/dev/putl0014/loginpage/php
5a95b02,Xplict1,4 weeks ago,Added graph placeholders
5876d50,putl0014,4 weeks ago,Update pr-roster.md
fe0ee63,putl0014,4 weeks ago,DB pswd char increase, change logins to use hashed pswds, registrations to store hashed pswds
909ecf9,putl0014,4 weeks ago,Changed function location
6b6d282,putl0014,4 weeks ago,Forgot to intialise the variables
0088dc6,putl0014,4 weeks ago,Added PHP form validation to all Login pages
9753e00,putl0014,4 weeks ago,Dump Data Folder
accd603,putl0014,4 weeks ago,Folder restructure
461de0d,putl0014,4 weeks ago,CSS Changes
68e6346,putl0014,4 weeks ago,Pushing account registration to database
d9d4727,wach0035,4 weeks ago,Merge pull request #22 from putl0014/feat/WACH0035/add-account-page
9cb3a99,wach0035,4 weeks ago,Merge branch 'dev/wach0035/request-sending' into feat/WACH0035/add-account-page
b1783fc,Thomas Wachmer,4 weeks ago,Add setup.sql
8ffaffe,putl0014,4 weeks ago,Updating file path
1ae6dc3,putl0014,4 weeks ago,Check email script, reset password page  and logout script
dd9f8f1,putl0014,4 weeks ago,Making a forgotten password page
9db3fff,putl0014,4 weeks ago,changing redirects to .php links
9ff5439,Jayden Putland,4 weeks ago,Adding in a register page, and adding in the php for the rest of the login pages
8e31768,Thomas Wachmer,4 weeks ago,Change daily availability API to make userid apply to all records
7293a3a,Xplict1,5 weeks ago,created extra pages for dashboard
4a25299,Thomas Wachmer,5 weeks ago,Add daily availability selection and API
327e8be,putl0014,5 weeks ago,Styling the radio buttons
1863140,Thomas Wachmer,5 weeks ago,Introduce /api/ folder Complete (Hopefully) weekly availability menu Add api endpoints for weekly availability
6b65128,putl0014,5 weeks ago,Update style.css
5c8e5e3,putl0014,5 weeks ago,Basic Structure
f980fc6,putl0014,5 weeks ago,Request sending draft
da5888c,putl0014,5 weeks ago,File location changes
356aa05,putl0014,6 weeks ago,.html change
896aaf4,putl0014,6 weeks ago,Changing File names
2d23120,putl0014,6 weeks ago,Changing over to .php filetype
211687a,putl0014,6 weeks ago,Added Admin Login page
dfab65f,Thomas Wachmer,7 weeks ago,Add availability API Almost finished weekly availability setter
8dd8102,Xplict1,7 weeks ago,Update admin-dashboard.html
aaddfe3,Liam maney,7 weeks ago,Merge pull request #21 from putl0014/Student-Homepage-HTML
